key_actor,category,policy_domain,mentions_in_topic,global_entity_mentions,total_docs_spanned,topic_share_percentage
GHG,ORG,"Carbon Accounting & Metrics",47,47,3,100.00
Kyoto,GPE,"Carbon Accounting & Metrics",44,44,2,100.00
"the United States",GPE,"Carbon Accounting & Metrics",40,40,3,100.00
EPA,ORG,"Carbon Accounting & Metrics",33,33,1,100.00
UNFCCC,ORG,"Carbon Accounting & Metrics",31,31,3,100.00
California,GPE,"Carbon Accounting & Metrics",24,24,1,100.00
Canada,GPE,"Carbon Accounting & Metrics",24,24,2,100.00
China,GPE,"Carbon Accounting & Metrics",19,19,3,100.00
Japan,GPE,"Carbon Accounting & Metrics",19,19,2,100.00
U.S.,GPE,"Carbon Accounting & Metrics",19,19,2,100.00
Annex,ORG,"Carbon Accounting & Metrics",15,15,1,100.00
Russia,GPE,"Carbon Accounting & Metrics",13,13,1,100.00
CDM,ORG,"Carbon Accounting & Metrics",11,11,1,100.00
Australia,GPE,"Carbon Accounting & Metrics",8,8,2,100.00
Trump,ORG,"Carbon Accounting & Metrics",8,8,1,100.00
Congress,ORG,"Carbon Accounting & Metrics",7,7,1,100.00
IET,ORG,"Carbon Accounting & Metrics",7,7,1,100.00
India,GPE,"Carbon Accounting & Metrics",7,7,2,100.00
Senate,ORG,"Carbon Accounting & Metrics",7,7,2,100.00
Belarus,GPE,"Carbon Accounting & Metrics",6,6,1,100.00
CH4,ORG,"Carbon Accounting & Metrics",6,6,2,100.00
Iceland,GPE,"Carbon Accounting & Metrics",6,6,1,100.00
IPCC,ORG,"Carbon Accounting & Metrics",6,6,1,100.00
LCA,ORG,"Carbon Accounting & Metrics",6,6,1,100.00
Ukraine,GPE,"Carbon Accounting & Metrics",6,6,1,100.00
Arizona,GPE,"Carbon Accounting & Metrics",5,5,1,100.00
Brazil,GPE,"Carbon Accounting & Metrics",5,5,2,100.00
Latvia,GPE,"Carbon Accounting & Metrics",5,5,1,100.00
Montana,GPE,"Carbon Accounting & Metrics",5,5,1,100.00
"New Jersey",GPE,"Carbon Accounting & Metrics",5,5,1,100.00
"New Zealand",GPE,"Carbon Accounting & Metrics",5,5,1,100.00
Norway,GPE,"Carbon Accounting & Metrics",5,5,1,100.00
Oregon,GPE,"Carbon Accounting & Metrics",5,5,1,100.00
Switzerland,GPE,"Carbon Accounting & Metrics",5,5,1,100.00
"The Democratic Party",ORG,"Carbon Accounting & Metrics",5,5,1,100.00
"The Environmental Protection Agency",ORG,"Carbon Accounting & Metrics",5,5,1,100.00
"the European Union",ORG,"Carbon Accounting & Metrics",5,5,1,100.00
"the Republican Party",ORG,"Carbon Accounting & Metrics",5,5,1,100.00
Washington,GPE,"Carbon Accounting & Metrics",5,5,1,100.00
AAU,ORG,"Carbon Accounting & Metrics",4,4,1,100.00
Berlin,GPE,"Carbon Accounting & Metrics",4,4,1,100.00
