doc_id,entity_text,entity_label
1,tonnes CO2-eq,PERSON
1,Scope 2,PERSON
1,GHG,ORG
1,UNFCCC,ORG
1,GHG,ORG
1,GHG,ORG
1,UNFCCC,ORG
1,CH4,ORG
1,CH4,ORG
1,IPCC,ORG
1,IPCC,ORG
1,The International Sustainability Standards Board,ORG
1,GHG,ORG
1,The Paris Agreement,EVENT
1,the Paris Agreement,EVENT
1,GHG,ORG
1,GHG,ORG
1,UNFCCC,ORG
1,UNFCCC,ORG
1,The Paris Agreement,EVENT
1,GHG,ORG
1,GHG,ORG
1,Software,ORG
1,GHG,ORG
1,UN Comtrade,ORG
1,Eurostat,ORG
1,the United Nations,ORG
1,LCA,ORG
1,LCA,ORG
1,ISO,ORG
1,LCA,ORG
1,Carbon Emissions in Corporations,ORG
1,GHG,ORG
1,the GHG Protocol Life Cycle Accounting and Reporting Standard,ORG
1,LCA,ORG
1,LCA,ORG
1,LCA,ORG
1,Geoffrey Supran,PERSON
1,Naomi Oreskes,PERSON
1,Harvard University,ORG
1,IPCC,ORG
1,Sixth Assessment Report,EVENT
1,IPCC,ORG
1,GHG,ORG
1,SCP-HAT,ORG
1,UN Comtrade,ORG
1,GHG,ORG
1,China,GPE
1,the United States,GPE
1,484±20 GtC,ORG
1,CH4,ORG
1,The Carbon Trust,ORG
1,Carbon Trust,ORG
1,GHG,ORG
1,IPCC,ORG
1,GHG,ORG
1,GHG,ORG
1,IPCC,ORG
1,GHG,ORG
1,GHG,ORG
1,GHG,ORG
1,GHG,ORG
1,GHG,ORG
1,GHG,ORG
1,Nationally Determined Contributions,ORG
1,the World Bank,ORG
1,USA,GPE
1,Luxembourg,GPE
1,Australia,GPE
1,USA,GPE
1,India,GPE
1,Multi-Regional Input-Output,ORG
1,GHG,ORG
1,BBC,ORG
1,William Safire,PERSON
1,the New York Times,ORG
1,Ogilvy,ORG
1,William Rees,PERSON
1,MIPS,ORG
1,The International Sustainability Standards Board,ORG
1,the International Financial Reporting Standards,ORG
1,the Carbon Disclosure Standards Board,ORG
1,the Sustainability Accounting Standards Board,ORG
1,the Value Reporting Foundation,ORG
1,the Task Force on Climate-Related Financial Disclosures,ORG
1,Great Britain,GPE
1,Nigeria,GPE
1,The Expanded Total Equivalent Warming,ORG
2,the United States,GPE
2,the United States,GPE
2,China,GPE
2,the United States,GPE
2,The Environmental Protection Agency,ORG
2,EPA,ORG
2,The Democratic Party,ORG
2,the Republican Party,ORG
2,Trump,ORG
2,the United States,GPE
2,The United States,GPE
2,the US Senate,ORG
2,Senate,ORG
2,the United States,GPE
2,National Security,ORG
2,Condoleezza Rice,PERSON
2,Administration,ORG
2,Congress,ORG
2,Pentagon,ORG
2,An Abrupt Climate Change Scenario,ORG
2,Peter Schwartz,PERSON
2,Doug Randall,PERSON
2,U.S.,GPE
2,McCain,PERSON
2,the US Senate,ORG
2,Republicans,NORP
2,Democrats,NORP
2,Democratic,NORP
2,House,ORG
2,Nancy Pelosi,PERSON
2,United States,ORG
2,Congress,ORG
2,Joe Lieberman,PERSON
2,Bernie Sanders,PERSON
2,Barbara Boxer,PERSON
2,the Global Warming Pollution Reduction Act,ORG
2,the National Academy of Sciences,ORG
2,The House of Representatives,ORG
2,the American Clean Energy and Security Act,ORG
2,Senate,ORG
2,Republicans,NORP
2,the U.S. Congress,ORG
2,the Environmental Protection Agency,ORG
2,EPA,ORG
2,EPA,ORG
2,Bill Clinton,PERSON
2,the United States,GPE
2,the United States,GPE
2,Clinton,PERSON
2,British Thermal Unit,ORG
2,BTU,ORG
2,The Climate Change Action Plan,ORG
2,Clinton,PERSON
2,Clinton,PERSON
2,The British Thermal Tax,ORG
2,Clinton,PERSON
2,the British Thermal Unit,ORG
2,BTU,ORG
2,The British Thermal Unit,ORG
2,Fahrenheit,GPE
2,The Clinton Administration,ORG
2,U.S.,GPE
2,U.S.,GPE
2,the Climate Action Network,ORG
2,U.S.,GPE
2,U.S.,GPE
2,Clinton,PERSON
2,Clinton,PERSON
2,the United States,GPE
2,Clinton,PERSON
2,Clean Air Partnership Fund,ORG
2,The Clean Air Partnership Fund,ORG
2,EPA,ORG
2,The Climate Change Technology Initiative,ORG
2,The Climate Change Technology Initiative,ORG
2,the George W. Bush Administration,PERSON
2,Kyoto,GPE
2,Japan,GPE
2,U.S.,GPE
2,Bush,PERSON
2,Bush,PERSON
2,Bush,PERSON
2,American,NORP
2,Rolling Stone,ORG
2,Americans,NORP
2,an International Scientific Congress on Climate Change,ORG
2,the University of Copenhagen,ORG
2,the International Alliance of Research Universities,ORG
2,IARU,ORG
2,USA,GPE
2,the U.S. House of Representatives,ORG
2,Bush,PERSON
2,White House,ORG
2,American,NORP
2,Bush,PERSON
2,Bush,PERSON
2,the Government Accountability Project,ORG
2,the White House,ORG
2,U.S.,GPE
2,U.S.,GPE
2,U.S.,GPE
2,White House,ORG
2,Centers for Disease Control and Prevention,ORG
2,CDC,ORG
2,the U.S. Senate Environment and Public Works Committee,ORG
2,The Bush Administration,ORG
2,Mary Peters,PERSON
2,Transportation,ORG
2,the House of Representatives,ORG
2,California,GPE
2,Congress,ORG
2,New Energy for America,ORG
2,Barack Obama's,PERSON
2,the American Reinvestment and Recovery Act,ORG
2,brownfield,GPE
2,Obama's Council of Economic Advisers,ORG
2,ARRA,ORG
2,Barack Obama,PERSON
2,YouTube,ORG
2,The American Clean Energy and Security Act,ORG
2,the House of Representatives,ORG
2,Senate,ORG
2,Obama,PERSON
2,the White House,ORG
2,the White House Office of Energy and Climate Change Policy,ORG
2,Carol Browner,PERSON
2,Energy and Climate Change,ORG
2,State,ORG
2,Hillary Clinton,PERSON
2,Todd Stern,PERSON
2,Special Envoy for Climate Change,ORG
2,Clinton,PERSON
2,the United States,GPE
2,Stern,ORG
2,Copenhagen,ORG
2,Obama,PERSON
2,the United States,GPE
2,United States,GPE
2,GHG,ORG
2,GHG,ORG
2,China,GPE
2,Obama,PERSON
2,Chinese Communist Party,ORG
2,Xi Jinping,PERSON
2,Obama,PERSON
2,Obama,PERSON
2,the United Nations Framework Convention on Climate Change,ORG
2,UNFCCC,ORG
2,The United States,GPE
2,Obama,PERSON
2,U.S.,GPE
2,Obama,PERSON
2,EPA,ORG
2,Trump,PERSON
2,Affordable Clean Energy,ORG
2,the DC Circuit Court of Appeals,ORG
2,Obama,PERSON
2,Canada,GPE
2,Justin Trudeau,PERSON
2,ICR,ORG
2,EPA,ORG
2,Lawrence Berkeley National Laboratory,ORG
2,the United States,GPE
2,Paris Agreement,EVENT
2,Obama,PERSON
2,21st Century Clean Transportation Plan,ORG
2,the Fixing America's,ORG
2,Obama,PERSON
2,House,ORG
2,Republican,NORP
2,Obama,PERSON
2,EPA,ORG
2,EPA,ORG
2,the Next Generation Air Transportation System,ORG
2,the Federal Aviation Administration,ORG
2,the Maritime Administration,ORG
2,the Environmental Protection Agency,ORG
2,EPA,ORG
2,the Department of Transportation's,ORG
2,National Highway Traffic Safety Administration,ORG
2,NHTSA,ORG
2,EPA,ORG
2,GHG,ORG
2,Corporate Average Fuel Economy (,ORG
2,the Energy Policy and Conservation Act,ORG
2,Donald Trump,PERSON
2,the United States',GPE
2,EPA,ORG
2,Obama,PERSON
2,Trump,ORG
2,U.S.,GPE
2,the Paris Climate Agreement,EVENT
2,Trump,ORG
2,Scott Pruitt,PERSON
2,EPA,ORG
2,Oklahoma,GPE
2,Pruitt,GPE
2,Oklahoma,GPE
2,EPA,ORG
2,EPA,ORG
2,Andrew Wheeler,PERSON
2,EPA,ORG
2,Trump,PERSON
2,Rex W. Tillerson,PERSON
2,Exxon Mobil,ORG
2,State,ORG
2,Mike Pompeo,PERSON
2,Trump,ORG
2,Dakota Access Pipelines,ORG
2,Trump,PERSON
2,Obama,PERSON
2,American,NORP
2,The White House,ORG
2,American,NORP
2,Trump,PERSON
2,the Environmental Protection Agency,ORG
2,EPA,ORG
2,the Trump Administration,ORG
2,Congress,ORG
2,Environmental Impact Statement (,ORG
2,EIP,ORG
2,the National Highway Traffic Safety Administration,ORG
2,Trump,ORG
2,EIP,ORG
2,U.S.,GPE
2,Trump,PERSON
2,EPA,ORG
2,EPA,ORG
2,Congress,ORG
2,EPA,ORG
2,EPA,ORG
2,Joel Scheraga,PERSON
2,EPA,ORG
2,EPA,ORG
2,Scheraga,PERSON
2,Trump,PERSON
2,the United States,GPE
2,Trump,PERSON
2,Mustafa Ali,PERSON
2,EPA,ORG
2,Biden,PERSON
2,the Keystone XL Pipeline,ORG
2,National Climate Task Force,ORG
2,the Paris Agreement,EVENT
2,Keystone XL,PERSON
2,the Democratic Party,ORG
2,Joe Biden,PERSON
2,Biden,PERSON
2,Willow,ORG
2,Alaska,GPE
2,Biden,PERSON
2,Biden,ORG
2,Willow,ORG
2,Louisiana,GPE
2,James D. Cain Jr.,PERSON
2,Biden,PERSON
2,Biden,PERSON
2,the Supreme Court,ORG
2,West Virginia,GPE
2,EPA,ORG
2,EPA,ORG
2,Biden,PERSON
2,EPA,ORG
2,the Interior Department,ORG
2,EPA,ORG
2,DOE,ORG
2,DOE,ORG
2,Biden,PERSON
2,China,GPE
2,China,GPE
2,Senate,ORG
2,Republicans,NORP
2,Biden,PERSON
2,the Infrastructure Investment and Jobs Act,ORG
2,American,NORP
2,Western,NORP
2,IIJA,ORG
2,Biden,PERSON
2,Biden,PERSON
2,the United States,GPE
2,Act,ORG
2,EPA,ORG
2,U.S.,GPE
2,Rhodium Group,ORG
2,the World Economic Forum,ORG
2,GHG,ORG
2,EPA,ORG
2,NOAA,ORG
2,Trump,ORG
2,National Climate Assessment,ORG
2,Trump,ORG
2,Strengthening United States National Defense with America's,ORG
2,Beautiful Clean Coal Power Generation Fleet,ORG
2,Energy,ORG
2,Power Purchase Agreements for,ORG
2,Department of War,ORG
2,The U.S. Climate Change Science Program,ORG
2,U.S.,GPE
2,the PEW Center on Global Climate Change,ORG
2,Texas,GPE
2,France,GPE
2,California,GPE
2,Brazil,GPE
2,Arizona,GPE
2,Janet Napolitano,PERSON
2,the United States,GPE
2,California,GPE
