source,target,weight,relationship
Japan,Kyoto,9,CO_OCCURS_WITH
Canada,the United States,7,CO_OCCURS_WITH
Japan,Russia,6,CO_OCCURS_WITH
China,India,5,CO_OCCURS_WITH
California,Oregon,4,CO_OCCURS_WITH
Canada,Japan,4,CO_OCCURS_WITH
Oregon,Washington,4,CO_OCCURS_WITH
Canada,Russia,4,CO_OCCURS_WITH
China,the United States,4,CO_OCCURS_WITH
Kyoto,Russia,4,CO_OCCURS_WITH
California,Washington,4,CO_OCCURS_WITH
Annex,GHG,4,CO_OCCURS_WITH
Norway,Switzerland,3,CO_OCCURS_WITH
Iceland,Norway,3,CO_OCCURS_WITH
Italy,Japan,3,CO_OCCURS_WITH
Iceland,Liechtenstein,3,CO_OCCURS_WITH
Japan,Luxembourg,3,CO_OCCURS_WITH
Japan,Norway,3,CO_OCCURS_WITH
EPA,the Environmental Protection Agency,3,CO_OCCURS_WITH
GHG,UNFCCC,3,CO_OCCURS_WITH
Iceland,Luxembourg,3,CO_OCCURS_WITH
Iceland,Japan,3,CO_OCCURS_WITH
Canada,Peter Kent,3,CO_OCCURS_WITH
GHG,Kyoto,3,CO_OCCURS_WITH
Australia,Canada,3,CO_OCCURS_WITH
Japan,UNFCCC,3,CO_OCCURS_WITH
Estonia,Poland,3,CO_OCCURS_WITH
Latvia,Lithuania,3,CO_OCCURS_WITH
Romania,Slovakia,3,CO_OCCURS_WITH
UNFCCC,the United Nations Framework Convention on Climate Change,3,CO_OCCURS_WITH
Belarus,Ukraine,3,CO_OCCURS_WITH
Arizona,New Mexico,3,CO_OCCURS_WITH
Spain,Switzerland,3,CO_OCCURS_WITH
California,New Mexico,3,CO_OCCURS_WITH
New Mexico,Oregon,3,CO_OCCURS_WITH
EPA,Obama,3,CO_OCCURS_WITH
EPA,Trump,3,CO_OCCURS_WITH
Canada,Kyoto,3,CO_OCCURS_WITH
Annex,Kyoto,3,CO_OCCURS_WITH
New Mexico,Washington,3,CO_OCCURS_WITH
India,Indonesia,3,CO_OCCURS_WITH
COP,UNFCCC,2,CO_OCCURS_WITH
Arizona,Janet Napolitano,2,CO_OCCURS_WITH
Trump,the United States,2,CO_OCCURS_WITH
Rio de Janeiro,UNFCCC,2,CO_OCCURS_WITH
Brazil,France,2,CO_OCCURS_WITH
EPA,the Supreme Court,2,CO_OCCURS_WITH
Annex,CDM,2,CO_OCCURS_WITH
Biden,Willow,2,CO_OCCURS_WITH
Belarus,Bulgaria,2,CO_OCCURS_WITH
California,GHG,2,CO_OCCURS_WITH
Canada,UNFCCC,2,CO_OCCURS_WITH
Belarus,Czech Republic,2,CO_OCCURS_WITH
Belarus,Croatia,2,CO_OCCURS_WITH
New Zealand,Russia,2,CO_OCCURS_WITH
Bulgaria,Croatia,2,CO_OCCURS_WITH
Bulgaria,Czech Republic,2,CO_OCCURS_WITH
Croatia,Czech Republic,2,CO_OCCURS_WITH
Bush,China,2,CO_OCCURS_WITH
Estonia,Latvia,2,CO_OCCURS_WITH
Estonia,Lithuania,2,CO_OCCURS_WITH
Hungary,Latvia,2,CO_OCCURS_WITH
Hungary,Lithuania,2,CO_OCCURS_WITH
Hungary,Poland,2,CO_OCCURS_WITH
China,Japan,2,CO_OCCURS_WITH
Latvia,Poland,2,CO_OCCURS_WITH
Eastern Canadian,the New England Governors,2,CO_OCCURS_WITH
New Mexico,the Southwest Climate Change Initiative,2,CO_OCCURS_WITH
Arizona,California,2,CO_OCCURS_WITH
Belarus,Kazakhstan,2,CO_OCCURS_WITH
Russia,South Africa,2,CO_OCCURS_WITH
EPA,Environmental Protection Agency,2,CO_OCCURS_WITH
Connecticut,Maine,2,CO_OCCURS_WITH
Connecticut,New Jersey,2,CO_OCCURS_WITH
Connecticut,New York,2,CO_OCCURS_WITH
Maine,New Jersey,2,CO_OCCURS_WITH
Maine,New York,2,CO_OCCURS_WITH
New Jersey,New York,2,CO_OCCURS_WITH
Norway,Spain,2,CO_OCCURS_WITH
New York,the United Nations,2,CO_OCCURS_WITH
Australia,Belarus,2,CO_OCCURS_WITH
Australia,the European Union,2,CO_OCCURS_WITH
Poland,Romania,2,CO_OCCURS_WITH
Kyoto,New Zealand,2,CO_OCCURS_WITH
Iceland,Kazakhstan,2,CO_OCCURS_WITH
Kyoto,Turkey,2,CO_OCCURS_WITH
Iceland,Switzerland,2,CO_OCCURS_WITH
Iceland,the European Union,2,CO_OCCURS_WITH
Kazakhstan,Liechtenstein,2,CO_OCCURS_WITH
Kazakhstan,Ukraine,2,CO_OCCURS_WITH
Liechtenstein,Norway,2,CO_OCCURS_WITH
Arizona,the Southwest Climate Change Initiative,2,CO_OCCURS_WITH
Arizona,Washington,2,CO_OCCURS_WITH
Switzerland,Ukraine,2,CO_OCCURS_WITH
Japan,New Zealand,2,CO_OCCURS_WITH
Arizona,Oregon,2,CO_OCCURS_WITH
Lithuania,Poland,2,CO_OCCURS_WITH
Russia,Ukraine,2,CO_OCCURS_WITH
Poland,Russia,2,CO_OCCURS_WITH
Romania,Sweden,2,CO_OCCURS_WITH
Portugal,Switzerland,2,CO_OCCURS_WITH
Portugal,Sweden,2,CO_OCCURS_WITH
Portugal,Spain,2,CO_OCCURS_WITH
Portugal,Slovakia,2,CO_OCCURS_WITH
Portugal,Romania,2,CO_OCCURS_WITH
Norway,Poland,2,CO_OCCURS_WITH
New Zealand,Poland,2,CO_OCCURS_WITH
New Zealand,Norway,2,CO_OCCURS_WITH
Netherlands,Poland,2,CO_OCCURS_WITH
Netherlands,Norway,2,CO_OCCURS_WITH
Netherlands,New Zealand,2,CO_OCCURS_WITH
Luxembourg,Norway,2,CO_OCCURS_WITH
Lithuania,Luxembourg,2,CO_OCCURS_WITH
Liechtenstein,Luxembourg,2,CO_OCCURS_WITH
Liechtenstein,Lithuania,2,CO_OCCURS_WITH
Latvia,Luxembourg,2,CO_OCCURS_WITH
Latvia,Liechtenstein,2,CO_OCCURS_WITH
Romania,Spain,2,CO_OCCURS_WITH
Romania,Switzerland,2,CO_OCCURS_WITH
Poland,Slovakia,2,CO_OCCURS_WITH
Slovakia,Spain,2,CO_OCCURS_WITH
India,Iran,2,CO_OCCURS_WITH
India,Italy,2,CO_OCCURS_WITH
India,Japan,2,CO_OCCURS_WITH
India,Mexico,2,CO_OCCURS_WITH
Indonesia,Iran,2,CO_OCCURS_WITH
Italy,Mexico,2,CO_OCCURS_WITH
Brazil,Canada,2,CO_OCCURS_WITH
Japan,Mexico,2,CO_OCCURS_WITH
Argentina,Barbuda,2,CO_OCCURS_WITH
UNFCCC,the European Union,2,CO_OCCURS_WITH
Japan,the United States,2,CO_OCCURS_WITH
Japan,the European Union,2,CO_OCCURS_WITH
Canada,China,2,CO_OCCURS_WITH
Sweden,Switzerland,2,CO_OCCURS_WITH
Spain,Sweden,2,CO_OCCURS_WITH
Slovakia,Switzerland,2,CO_OCCURS_WITH
Slovakia,Sweden,2,CO_OCCURS_WITH
Japan,Lithuania,2,CO_OCCURS_WITH
Japan,Liechtenstein,2,CO_OCCURS_WITH
Japan,Latvia,2,CO_OCCURS_WITH
Italy,Luxembourg,2,CO_OCCURS_WITH
Denmark,Luxembourg,2,CO_OCCURS_WITH
Denmark,Japan,2,CO_OCCURS_WITH
Denmark,Iceland,2,CO_OCCURS_WITH
Bulgaria,Canada,2,CO_OCCURS_WITH
Australia,Bulgaria,2,CO_OCCURS_WITH
Belarus,Turkey,2,CO_OCCURS_WITH
Annex,Turkey,2,CO_OCCURS_WITH
Annex,Belarus,2,CO_OCCURS_WITH
Kyoto,UNFCCC,2,CO_OCCURS_WITH
Slovenia,Ukraine,2,CO_OCCURS_WITH
Slovakia,Ukraine,2,CO_OCCURS_WITH
Slovakia,Slovenia,2,CO_OCCURS_WITH
Japan,South Africa,2,CO_OCCURS_WITH
Russia,Slovakia,2,CO_OCCURS_WITH
Romania,Ukraine,2,CO_OCCURS_WITH
Romania,Slovenia,2,CO_OCCURS_WITH
Romania,Russia,2,CO_OCCURS_WITH
Denmark,Norway,2,CO_OCCURS_WITH
Finland,France,2,CO_OCCURS_WITH
France,Germany,2,CO_OCCURS_WITH
Ireland,Japan,2,CO_OCCURS_WITH
Italy,Lithuania,2,CO_OCCURS_WITH
Italy,Liechtenstein,2,CO_OCCURS_WITH
Italy,Latvia,2,CO_OCCURS_WITH
Ireland,Luxembourg,2,CO_OCCURS_WITH
Ireland,Lithuania,2,CO_OCCURS_WITH
Ireland,Liechtenstein,2,CO_OCCURS_WITH
Ireland,Latvia,2,CO_OCCURS_WITH
Ireland,Italy,2,CO_OCCURS_WITH
France,Italy,2,CO_OCCURS_WITH
Iceland,Lithuania,2,CO_OCCURS_WITH
Iceland,Latvia,2,CO_OCCURS_WITH
Iceland,Italy,2,CO_OCCURS_WITH
Iceland,Ireland,2,CO_OCCURS_WITH
Germany,Japan,2,CO_OCCURS_WITH
Germany,Italy,2,CO_OCCURS_WITH
France,Japan,2,CO_OCCURS_WITH
China,South Africa,2,CO_OCCURS_WITH
Estonia,Hungary,2,CO_OCCURS_WITH
House,Republican,2,CO_OCCURS_WITH
Brazil,China,2,CO_OCCURS_WITH
BTU,Clinton,2,CO_OCCURS_WITH
Clinton,the United States,2,CO_OCCURS_WITH
China,Indonesia,2,CO_OCCURS_WITH
Brazil,India,2,CO_OCCURS_WITH
American,Bush,2,CO_OCCURS_WITH
GHG,IPCC,2,CO_OCCURS_WITH
Senate,the United States,2,CO_OCCURS_WITH
Lesotho,Mongolia,1,CO_OCCURS_WITH
Artur Runge-Metzger,the European Union,1,CO_OCCURS_WITH
Lesotho,Malaysia,1,CO_OCCURS_WITH
Liberia,Lithuania,1,CO_OCCURS_WITH
Liberia,Liechtenstein,1,CO_OCCURS_WITH
Lesotho,Maldives Mali,1,CO_OCCURS_WITH
Lesotho,Mauritania,1,CO_OCCURS_WITH
Doha,European,1,CO_OCCURS_WITH
Lesotho,Mexico,1,CO_OCCURS_WITH
Artur Runge-Metzger,European,1,CO_OCCURS_WITH
Artur Runge-Metzger,UNFCCC,1,CO_OCCURS_WITH
Lesotho,Micronesia Moldova,1,CO_OCCURS_WITH
Lesotho,Monaco,1,CO_OCCURS_WITH
Lesotho,Luxembourg,1,CO_OCCURS_WITH
Liberia,Libya,1,CO_OCCURS_WITH
Lesotho,South Korea,1,CO_OCCURS_WITH
Lesotho,North Korea,1,CO_OCCURS_WITH
Lesotho,Madagascar Malawi,1,CO_OCCURS_WITH
Republican,The Tyndall Centre,1,CO_OCCURS_WITH
Lesotho,Lithuania,1,CO_OCCURS_WITH
Liberia,Madagascar Malawi,1,CO_OCCURS_WITH
Lebanon,Lesotho,1,CO_OCCURS_WITH
Lebanon,Liberia,1,CO_OCCURS_WITH
Lebanon,Libya,1,CO_OCCURS_WITH
Lebanon,Liechtenstein,1,CO_OCCURS_WITH
Lebanon,Lithuania,1,CO_OCCURS_WITH
Lebanon,Luxembourg,1,CO_OCCURS_WITH
Lebanon,Madagascar Malawi,1,CO_OCCURS_WITH
Lebanon,Malaysia,1,CO_OCCURS_WITH
Lebanon,Maldives Mali,1,CO_OCCURS_WITH
Lebanon,Mauritania,1,CO_OCCURS_WITH
Lebanon,Mexico,1,CO_OCCURS_WITH
Lebanon,Micronesia Moldova,1,CO_OCCURS_WITH
Lebanon,Monaco,1,CO_OCCURS_WITH
Lebanon,Mongolia,1,CO_OCCURS_WITH
Lebanon,North Korea,1,CO_OCCURS_WITH
Lebanon,South Korea,1,CO_OCCURS_WITH
Lesotho,Liberia,1,CO_OCCURS_WITH
Lesotho,Libya,1,CO_OCCURS_WITH
Lesotho,Liechtenstein,1,CO_OCCURS_WITH
Liberia,Luxembourg,1,CO_OCCURS_WITH
Liberia,Mauritania,1,CO_OCCURS_WITH
Liberia,Malaysia,1,CO_OCCURS_WITH
Liechtenstein,Mauritania,1,CO_OCCURS_WITH
Libya,North Korea,1,CO_OCCURS_WITH
Libya,South Korea,1,CO_OCCURS_WITH
Liechtenstein,Madagascar Malawi,1,CO_OCCURS_WITH
Liechtenstein,Malaysia,1,CO_OCCURS_WITH
New Zealand,New Zealand's,1,CO_OCCURS_WITH
Kyoto Protocol,Tim Groser,1,CO_OCCURS_WITH
Kyoto Protocol,New Zealand's,1,CO_OCCURS_WITH
Liechtenstein,Maldives Mali,1,CO_OCCURS_WITH
Liechtenstein,Mexico,1,CO_OCCURS_WITH
Libya,Monaco,1,CO_OCCURS_WITH
Liechtenstein,Micronesia Moldova,1,CO_OCCURS_WITH
Liechtenstein,Monaco,1,CO_OCCURS_WITH
Liechtenstein,Mongolia,1,CO_OCCURS_WITH
Liechtenstein,North Korea,1,CO_OCCURS_WITH
Liechtenstein,South Korea,1,CO_OCCURS_WITH
Lithuania,Madagascar Malawi,1,CO_OCCURS_WITH
Lithuania,Malaysia,1,CO_OCCURS_WITH
Kyoto Protocol,New Zealand,1,CO_OCCURS_WITH
Libya,Mongolia,1,CO_OCCURS_WITH
Libya,Micronesia Moldova,1,CO_OCCURS_WITH
Artur Runge-Metzger,Doha,1,CO_OCCURS_WITH
Libya,Liechtenstein,1,CO_OCCURS_WITH
Liberia,Maldives Mali,1,CO_OCCURS_WITH
Latvia,North Korea,1,CO_OCCURS_WITH
Liberia,Mexico,1,CO_OCCURS_WITH
Liberia,Micronesia Moldova,1,CO_OCCURS_WITH
Liberia,Monaco,1,CO_OCCURS_WITH
Liberia,Mongolia,1,CO_OCCURS_WITH
Liberia,North Korea,1,CO_OCCURS_WITH
Liberia,South Korea,1,CO_OCCURS_WITH
Libya,Lithuania,1,CO_OCCURS_WITH
New Zealand,Tim Groser,1,CO_OCCURS_WITH
Libya,Luxembourg,1,CO_OCCURS_WITH
Libya,Madagascar Malawi,1,CO_OCCURS_WITH
Libya,Malaysia,1,CO_OCCURS_WITH
New Zealand's,the World Wildlife Fund,1,CO_OCCURS_WITH
Libya,Maldives Mali,1,CO_OCCURS_WITH
Libya,Mauritania,1,CO_OCCURS_WITH
Libya,Mexico,1,CO_OCCURS_WITH
New Zealand's,Tim Groser,1,CO_OCCURS_WITH
Latvia,South Korea,1,CO_OCCURS_WITH
Latvia,Mongolia,1,CO_OCCURS_WITH
Doha,UNFCCC,1,CO_OCCURS_WITH
Kyrgyzstan,Liberia,1,CO_OCCURS_WITH
Kuwait,Lesotho,1,CO_OCCURS_WITH
Kuwait,Liberia,1,CO_OCCURS_WITH
Kuwait,Libya,1,CO_OCCURS_WITH
Kuwait,Liechtenstein,1,CO_OCCURS_WITH
Kuwait,Lithuania,1,CO_OCCURS_WITH
Kuwait,Luxembourg,1,CO_OCCURS_WITH
Kuwait,Madagascar Malawi,1,CO_OCCURS_WITH
Kuwait,Malaysia,1,CO_OCCURS_WITH
Kuwait,Maldives Mali,1,CO_OCCURS_WITH
Kuwait,Mauritania,1,CO_OCCURS_WITH
Kuwait,Mexico,1,CO_OCCURS_WITH
Kuwait,Micronesia Moldova,1,CO_OCCURS_WITH
Kuwait,Monaco,1,CO_OCCURS_WITH
Kuwait,Mongolia,1,CO_OCCURS_WITH
Kuwait,North Korea,1,CO_OCCURS_WITH
Kuwait,South Korea,1,CO_OCCURS_WITH
Kyrgyzstan,Laos,1,CO_OCCURS_WITH
Kyrgyzstan,Latvia,1,CO_OCCURS_WITH
Kyrgyzstan,Lebanon,1,CO_OCCURS_WITH
Kuwait,Lebanon,1,CO_OCCURS_WITH
Kuwait,Latvia,1,CO_OCCURS_WITH
Kuwait,Laos,1,CO_OCCURS_WITH
Kiribati,Madagascar Malawi,1,CO_OCCURS_WITH
Kiribati,Latvia,1,CO_OCCURS_WITH
Kiribati,Lebanon,1,CO_OCCURS_WITH
Kiribati,Lesotho,1,CO_OCCURS_WITH
Kiribati,Liberia,1,CO_OCCURS_WITH
Kiribati,Libya,1,CO_OCCURS_WITH
Kiribati,Liechtenstein,1,CO_OCCURS_WITH
Kiribati,Lithuania,1,CO_OCCURS_WITH
Kiribati,Luxembourg,1,CO_OCCURS_WITH
Kiribati,Malaysia,1,CO_OCCURS_WITH
Kuwait,Kyrgyzstan,1,CO_OCCURS_WITH
Kiribati,Maldives Mali,1,CO_OCCURS_WITH
Kiribati,Mauritania,1,CO_OCCURS_WITH
Kiribati,Mexico,1,CO_OCCURS_WITH
Kiribati,Micronesia Moldova,1,CO_OCCURS_WITH
Kiribati,Monaco,1,CO_OCCURS_WITH
Kiribati,Mongolia,1,CO_OCCURS_WITH
Kiribati,North Korea,1,CO_OCCURS_WITH
Kiribati,South Korea,1,CO_OCCURS_WITH
Kyrgyzstan,Lesotho,1,CO_OCCURS_WITH
Kyrgyzstan,Libya,1,CO_OCCURS_WITH
Lithuania,Maldives Mali,1,CO_OCCURS_WITH
Kyrgyzstan,Liechtenstein,1,CO_OCCURS_WITH
Laos,Maldives Mali,1,CO_OCCURS_WITH
Laos,Mauritania,1,CO_OCCURS_WITH
Laos,Mexico,1,CO_OCCURS_WITH
Laos,Micronesia Moldova,1,CO_OCCURS_WITH
Laos,Monaco,1,CO_OCCURS_WITH
Laos,Mongolia,1,CO_OCCURS_WITH
Laos,North Korea,1,CO_OCCURS_WITH
Laos,South Korea,1,CO_OCCURS_WITH
Latvia,Lebanon,1,CO_OCCURS_WITH
Latvia,Lesotho,1,CO_OCCURS_WITH
Latvia,Liberia,1,CO_OCCURS_WITH
Latvia,Libya,1,CO_OCCURS_WITH
Latvia,Madagascar Malawi,1,CO_OCCURS_WITH
Latvia,Malaysia,1,CO_OCCURS_WITH
Latvia,Maldives Mali,1,CO_OCCURS_WITH
Latvia,Mauritania,1,CO_OCCURS_WITH
Latvia,Mexico,1,CO_OCCURS_WITH
Latvia,Micronesia Moldova,1,CO_OCCURS_WITH
Latvia,Monaco,1,CO_OCCURS_WITH
Laos,Malaysia,1,CO_OCCURS_WITH
Laos,Madagascar Malawi,1,CO_OCCURS_WITH
Laos,Luxembourg,1,CO_OCCURS_WITH
Kyrgyzstan,Monaco,1,CO_OCCURS_WITH
Kyrgyzstan,Lithuania,1,CO_OCCURS_WITH
Kyrgyzstan,Luxembourg,1,CO_OCCURS_WITH
Kyrgyzstan,Madagascar Malawi,1,CO_OCCURS_WITH
Kyrgyzstan,Malaysia,1,CO_OCCURS_WITH
Kyrgyzstan,Maldives Mali,1,CO_OCCURS_WITH
Kyrgyzstan,Mauritania,1,CO_OCCURS_WITH
Kyrgyzstan,Mexico,1,CO_OCCURS_WITH
Kyrgyzstan,Micronesia Moldova,1,CO_OCCURS_WITH
Kyrgyzstan,Mongolia,1,CO_OCCURS_WITH
Laos,Lithuania,1,CO_OCCURS_WITH
Kyrgyzstan,North Korea,1,CO_OCCURS_WITH
Kyrgyzstan,South Korea,1,CO_OCCURS_WITH
Laos,Latvia,1,CO_OCCURS_WITH
Laos,Lebanon,1,CO_OCCURS_WITH
Laos,Lesotho,1,CO_OCCURS_WITH
Laos,Liberia,1,CO_OCCURS_WITH
Laos,Libya,1,CO_OCCURS_WITH
Laos,Liechtenstein,1,CO_OCCURS_WITH
Australia,New Zealand,1,CO_OCCURS_WITH
Copenhagen,Kyoto,1,CO_OCCURS_WITH
Lithuania,Mauritania,1,CO_OCCURS_WITH
Mexico,South Korea,1,CO_OCCURS_WITH
Canada,South Africa,1,CO_OCCURS_WITH
Guinea,Norway,1,CO_OCCURS_WITH
Guinea,Oman,1,CO_OCCURS_WITH
Guinea,Pakistan,1,CO_OCCURS_WITH
Guinea,Palau,1,CO_OCCURS_WITH
Canada,Mexico,1,CO_OCCURS_WITH
Guinea,Philippines,1,CO_OCCURS_WITH
Guinea,Poland,1,CO_OCCURS_WITH
Guinea,Portugal,1,CO_OCCURS_WITH
Guinea,Príncipe Saudi Arabia,1,CO_OCCURS_WITH
Guinea,Qatar,1,CO_OCCURS_WITH
Guinea,Romania,1,CO_OCCURS_WITH
