category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_url,proponent,protocol,registry,retired,status,clean_category
"[""agriculture""]",Malawi,,,False,0,,Regenerative Agriculture and Forestry Technologies (RAFT) 1,VCS4789,https://registry.verra.org/app/projectDetail/VCS/4789,C-Quest Capital SG Africa Holdings Private Limited,"[""vm0042""]",verra,0,listed,Agriculture
"[""renewable-energy""]",Malawi,,,False,0,,Nkhotakota Solar PV project,VCS4486,https://registry.verra.org/app/projectDetail/VCS/4486,South Pole Carbon Asset Management Ltd,"[""acm0002""]",verra,0,listed,Renewable-Energy
"[""energy-efficiency""]",Malawi,,,False,0,,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-004,VCS4166,https://registry.verra.org/app/projectDetail/VCS/4166,C-Quest Capital Malaysia Global Stoves Limited,"[""vmr0006""]",verra,0,listed,Energy-Efficiency
"[""unknown""]",Malawi,,,False,0,,Bamboo Afforestation in Malawi,VCS4155,https://registry.verra.org/app/projectDetail/VCS/4155,C-Quest Capital SG Africa Holdings Private Limited,"[""unknown""]",verra,0,listed,Unknown
"[""energy-efficiency""]",Malawi,,,False,0,,CHITETEZO MBAULA PROJECT – MALAWI,VCS4144,https://registry.verra.org/app/projectDetail/VCS/4144,CO2Logic SA,"[""vmr0006""]",verra,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,Improved Cookstove Distribution in Malawi by EKI Phase 01,VCS4058,https://registry.verra.org/app/projectDetail/VCS/4058,EKI Energy Services Limited,"[""vmr0006""]",verra,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2022-11-07 00:00:00+00:00,,False,500,,"Improved Cook Stove Project 1, Nkhata Bay District, Malawi - CER Conversion",VCS3937,https://registry.verra.org/app/projectDetail/VCS/3937,Multiple Proponents,"[""ams-ii-g""]",verra,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-07-19 00:00:00+00:00,,False,100959,,Livelihoods Chitetezo Mbaula Project,VCS3262,https://registry.verra.org/app/projectDetail/VCS/3262,Livelihoods Fund SICAV SIF,"[""vmr0006""]",verra,0,registered,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,180 Works High Efficiency Wood Burning Cookstoves - Malawi - Project 1,VCS3073,https://registry.verra.org/app/projectDetail/VCS/3073,180.Holdings B.V.,"[""vmr0006""]",verra,0,listed,Energy-Efficiency
"[""renewable-energy""]",Malawi,,,False,0,,Malawi Solar Power and Adult Literacy Project,VCS2953,https://registry.verra.org/app/projectDetail/VCS/2953,SCB Brokers LLC,"[""ams-i-a""]",verra,0,listed,Renewable-Energy
"[""energy-efficiency""]",Malawi,,,False,0,,Duplicate - Installation of high efficiency wood burning cookstoves in Malawi – Project 3,VCS2885,https://registry.verra.org/app/projectDetail/VCS/2885,C-Quest Capital SGM ZM Stoves Private Limited,"[""vmr0006""]",verra,0,completed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2024-01-25 00:00:00+00:00,,False,73560,,Installation of high efficiency wood burning cookstoves in Malawi – Project 3,VCS2886,https://registry.verra.org/app/projectDetail/VCS/2886,C-Quest Capital SGM ZM Stoves Private Limited,"[""vmr0006""]",verra,0,registered,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-12-07 00:00:00+00:00,2023-12-18 00:00:00+00:00,False,707458,,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-002,VCS2711,https://registry.verra.org/app/projectDetail/VCS/2711,C-Quest Capital Malaysia Global Stoves Limited,"[""vmr0006""]",verra,180000,registered,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-08-29 00:00:00+00:00,,False,1935244,,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-006,VCS2712,https://registry.verra.org/app/projectDetail/VCS/2712,Multiple Proponents,"[""vmr0006""]",verra,0,registered,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2022-03-04 00:00:00+00:00,2022-05-02 00:00:00+00:00,False,4444642,,Installation of high efficiency wood burning cookstoves in Malawi - Project 2,VCS2372,https://registry.verra.org/app/projectDetail/VCS/2372,Multiple Proponents,"[""vmr0006""]",verra,316134,registered,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2022-02-21 00:00:00+00:00,2022-04-05 00:00:00+00:00,False,2803221,,Installation of high efficiency wood burning cookstoves in Malawi,VCS2342,https://registry.verra.org/app/projectDetail/VCS/2342,C-Quest Capital SG Stoves Private Limited,"[""vmr0006""]",verra,56537,registered,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2019-11-06 00:00:00+00:00,2019-11-20 00:00:00+00:00,False,6761,,Improved Cookstoves Project for Malawi and cross-border regions of Mozambique CPA MAL  005,VCS1719,https://registry.verra.org/app/projectDetail/VCS/1719,Multiple Proponents,"[""ams-ii-g""]",verra,6462,registered,Energy-Efficiency
"[""forest""]",Malawi,,,False,0,,Fuelling a greener future for farmers in Malawi through the use of Jatropha curcas,VCS898,https://registry.verra.org/app/projectDetail/VCS/898,Bio Energy Resources Limited (BERL),"[""ar-acm0002""]",verra,0,registered,Forest
"[""forest""]",Malawi,2015-03-25 00:00:00+00:00,2015-03-25 00:00:00+00:00,False,3325607,,"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi",VCS1168,https://registry.verra.org/app/projectDetail/VCS/1168,Multiple Proponents,"[""vm0006""]",verra,1988362,registered,Forest
"[""energy-efficiency""]",Malawi,,,False,0,,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-26,GLD12474,https://registry.goldstandard.org/projects?q=gs12474,UpEnergy Group,"[""gs-tpddtec""]",gold-standard,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-23,GLD12357,https://registry.goldstandard.org/projects?q=gs12357,UpEnergy Group,"[""gs-tpddtec""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-24,GLD12358,https://registry.goldstandard.org/projects?q=gs12358,UpEnergy Group,"[""gs-tpddtec""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,GS12151 Ripple Africa high impact cookstoves VPA01 SA1,GLD12208,https://registry.goldstandard.org/projects?q=gs12208,CONSERVATION CARBON MALAWI PTY LTD,"[""gs-tpddtec""]",gold-standard,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,Clean Cooking with Biomass Gasification in Malawi (VPA2),GLD12189,https://registry.goldstandard.org/projects?q=gs12189,Emerging Cooking Solutions Sweden AB,"[""gs-metered-cookstoves""]",gold-standard,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,70259,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 37,GLD11932,https://registry.goldstandard.org/projects?q=gs11932,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,63934,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 17,GLD11917,https://registry.goldstandard.org/projects?q=gs11917,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,63795,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 18,GLD11918,https://registry.goldstandard.org/projects?q=gs11918,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,66977,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 19,GLD11919,https://registry.goldstandard.org/projects?q=gs11919,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
